comment_id,video_id,text_original,text_final
UgxxXhdkXFv9R7rZ3V54AaABAg,7CLZkPwhEG4,"apa yang perlu di takutin.
bukanya kemarin""banyak yang mau balikin dwi fungsi abri lagi😁.
gua mah ga mau ambil pusing ikut ngurusin hal hal kek gini.
positiv thingking aja😊",apa perlu takutin bukanya kemarin banyak mau balikin dwi fungsi abri emo_other tidak mau ambil pusing ikut urus begini positiv thingking emo_other
UgwhkCKS92cQyTjZwXN4AaABAg,7CLZkPwhEG4,Presidenya siapa nih negara kok makin kacau,presidenya siapa negara kok semakin kacau
UgwKXxOocGRcse2BY8B4AaABAg,7CLZkPwhEG4,"""Wallahi were finished"" akan menjadi kata² yang akan melekat di kita sampai... Gak tau kapan kayaknya negara ini udah terlalu gelap bahkan matahari cuman kayak cahaya redup yang tidak menerangkan 
apapun 🥲🌚

Selamat jalan Indonesia emas 2045 😢😔😞🇮🇩",wallahi finished menjadi kata kata melekat tidak tahu kapan kayaknya negara terlalu gelap bahkan matahari cuman cahaya redup tidak menerangkan apapun emo_sad emo_other selamat jalan indonesia emas emo_sad emo_other
Ugyv8Bw597T_ofca_Jt4AaABAg,7CLZkPwhEG4,Lama* ancur prabowo ini,lama hancur prabowo
UgwfjzaiugGxIvnnT6J4AaABAg,7CLZkPwhEG4,"Klo aparat lain, sejahtera bisa menempati bidang lain, knp TNI tdk bisa , hrs adil dong",kalau aparat sejahtera menempati bidang tni tidak adil
UgweVDeTvWAwQXbtyzh4AaABAg,7CLZkPwhEG4,Kalau TNI sy setuju aja dh. Ketimbang sipil2 & si coklat ga jelas banyak korupnya.,kalau tni setuju ketimbang sipil sipil coklat tidak jelas banyak korupnya
UgxaV43hm6CyBnjUbbx4AaABAg,7CLZkPwhEG4,Udahlah...intinya kepentingan...mengekang rakyat,udahlah intinya kepentingan mengekang rakyat
Ugx1_h-Q-OmT_lUxlJZ4AaABAg,7CLZkPwhEG4,Klo buru2 .. spertinya ada kepentingan tertentu,kalau buru buru spertinya kepentingan tertentu
Ugzrm3aKyeCNZ10Xmu54AaABAg,7CLZkPwhEG4,trus gimana kasus korupsi Pertamina. redup,terus bagaimana kasus korupsi pertamina redup
Ugz-vw1eJGd8GodPt-d4AaABAg,7CLZkPwhEG4,Bagus  adanya kehadiran tni d tengah  masarakat karna akhir2 ini banyak kominis yg  menyusup yg di setir oleh orang asing. Dgn adanya tni di masarakat ruang gerak kominis semakin sempit masarakat harus pintar yah ingat sewaktu pemerintahan jokowi banyak para tokoh agama terbunuh oleh orang kominis alasan orang gila padahal jelas2 kominis sekarang insa alloh aman. Klu ada oknum tni kan ada hukum yg mengatur  ga usah repot. Yg jelas Indonesia ini lg di ancam kominis tpi sekarang temanya beda. Kita harus pintar2.,bagus adanya kehadiran tni tengah masyarakat akhir akhir banyak kominis menyusup setir orang asing adanya tni masyarakat ruang gerak kominis semakin sempit masyarakat pintar ingat sewaktu pemerintahan jokowi banyak tokoh agama terbunuh orang kominis alasan orang gila padahal jelas jelas kominis sekarang insa alloh aman kalau oknum tni hukum mengatur tidak usah repot jelas indonesia ancam kominis sekarang temanya beda pintar pintar
UgzmYKM99bKAqUwXmmt4AaABAg,7CLZkPwhEG4,Kalau begitu berarti nanti polri bisa gak ada y..??,kalau berarti polri tidak
UgxVb2ZQGzxJJAs_zeJ4AaABAg,7CLZkPwhEG4,Sakkarepmu wooo woo rusak aja negara tinggal pengadilan jalanan,sakkarepmu woo woo rusak negara tinggal pengadilan jalanan
